StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001.0,17.0,0.0,,3.0,,,1.0,1.0,0.0,1.0,1.0,0.0,4.150311188742797,3.0
1002.0,18.0,1.0,3.0,4.0,17.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,3.1570538033426896,3.0
1003.0,,0.0,3.0,4.0,13.0,16.0,0.0,,,0.0,1.0,0.0,3.2708312011497176,3.0
1004.0,17.0,1.0,1.0,3.0,2.0,14.0,1.0,1.0,0.0,1.0,,0.0,2.8092372406704396,4.0
1005.0,17.0,,0.0,3.0,13.0,7.0,1.0,0.0,1.0,0.0,,1.0,,2.0
1006.0,18.0,0.0,3.0,2.0,,,1.0,1.0,1.0,0.0,0.0,,2.541391270300946,3.0
1007.0,15.0,1.0,1.0,2.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,3.26030765473664,4.0
1008.0,15.0,1.0,2.0,2.0,16.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,3.425995383232651,
1009.0,17.0,0.0,2.0,2.0,10.0,13.0,0.0,1.0,0.0,0.0,1.0,,1.191988866953177,1.0
1010.0,16.0,0.0,2.0,0.0,12.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,3.3112316096264696,
1011.0,17.0,0.0,2.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,2.3124092665636704,3.0
1012.0,17.0,0.0,1.0,,16.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,2.3359899585689967,4.0
1013.0,17.0,1.0,0.0,,1.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,2.4793813420116826,3.0
1014.0,17.0,0.0,1.0,0.0,,12.0,,,,1.0,0.0,0.0,2.0584721472625613,1.0
1015.0,18.0,0.0,0.0,2.0,16.0,15.0,0.0,1.0,1.0,0.0,0.0,,2.7601086911898576,
1016.0,15.0,0.0,2.0,,19.0,10.0,0.0,1.0,1.0,0.0,1.0,,3.458558744616722,3.0
1017.0,18.0,0.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6870185449937143,
1018.0,18.0,0.0,3.0,2.0,18.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,2.2254395788306516,2.0
1019.0,18.0,,3.0,3.0,12.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.705106420952462,
1020.0,17.0,0.0,0.0,3.0,14.0,16.0,0.0,1.0,,1.0,1.0,1.0,3.058632683865282,2.0
1021.0,16.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.111509051159426,3.0
1022.0,,0.0,1.0,2.0,4.0,9.0,0.0,0.0,0.0,,0.0,,2.8056931812330226,
1023.0,16.0,0.0,,0.0,6.0,9.0,,0.0,1.0,0.0,1.0,0.0,3.092428605378195,2.0
1024.0,18.0,0.0,0.0,2.0,16.0,,0.0,1.0,0.0,0.0,1.0,0.0,2.1318464726753987,
1025.0,18.0,0.0,3.0,0.0,13.0,5.0,1.0,0.0,1.0,0.0,,0.0,3.4859408674660717,2.0
1026.0,16.0,0.0,1.0,0.0,12.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,3.5355265479817604,4.0
1027.0,16.0,0.0,2.0,0.0,,,1.0,,0.0,1.0,1.0,1.0,,1.0
1028.0,16.0,0.0,1.0,4.0,2.0,2.0,1.0,,0.0,1.0,0.0,0.0,2.2314911325835802,1.0
1029.0,18.0,0.0,2.0,0.0,13.0,4.0,0.0,1.0,0.0,,0.0,,2.6662126549033793,2.0
1030.0,18.0,1.0,2.0,1.0,3.0,14.0,0.0,1.0,0.0,0.0,1.0,1.0,2.652093804997756,1.0
1031.0,15.0,0.0,2.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.649120984902489,4.0
1032.0,15.0,1.0,3.0,1.0,2.0,17.0,1.0,0.0,1.0,0.0,0.0,,2.835078733268675,1.0
,18.0,0.0,1.0,3.0,19.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,3.0
1034.0,16.0,,3.0,0.0,9.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,1.8801135093336316,
,16.0,0.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,3.2729492096081874,1.0
1036.0,15.0,,0.0,3.0,13.0,8.0,,0.0,0.0,0.0,1.0,1.0,4.26,4.0
1037.0,18.0,0.0,0.0,1.0,2.0,10.0,,1.0,1.0,1.0,1.0,1.0,4.003569772397211,4.0
1038.0,15.0,1.0,1.0,2.0,,,0.0,1.0,0.0,1.0,0.0,0.0,3.0457900923650474,4.0
1039.0,15.0,1.0,1.0,4.0,19.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,4.10080189320417,3.0
