StudentID,Extracurricular,Sports,Music,Volunteering,ParentalSupport,Tutoring,Absences
1001,0,1,1,0,1,1,Few
1002,1,0,0,1,1,0,"Very Few"
1003,1,0,1,0,1,0,Many
1004,0,1,1,0,1,1,Moderate
1005,1,0,1,1,0,1,Few
1006,1,0,0,0,1,1,Few
1007,0,1,0,1,1,0,Few
1008,1,1,0,0,0,1,Moderate
1009,0,0,1,0,1,0,Moderate
1010,0,1,1,1,0,0,Many
1011,1,0,1,1,1,0,Few
1012,0,0,1,1,0,0,Moderate
1013,1,1,0,1,0,0,Moderate
1014,1,1,0,0,1,0,Moderate
1015,1,0,0,0,1,0,Many
1016,1,0,1,0,1,0,Moderate
1017,0,0,0,0,0,0,"Very Few"
1018,1,1,0,1,1,0,Few
1019,0,1,1,0,1,0,"Very Few"
1020,1,1,1,1,1,0,Many
1021,0,1,0,0,0,0,"Very Few"
1022,0,0,0,0,0,0,Few
1023,1,0,1,0,0,0,Few
1024,0,0,1,0,1,0,Few
1025,1,0,1,0,0,1,Few
1026,1,1,0,0,0,1,Moderate
1027,0,1,1,1,1,1,Few
1028,0,1,0,0,1,1,"Very Few"
1029,0,0,0,0,1,0,"Very Few"
1030,0,0,1,1,1,0,Moderate
1031,1,1,1,0,0,0,"Very Few"
1032,1,0,0,0,0,1,Many
11001,1,0,1,0,0,0,"Very Few"
1034,0,0,0,1,0,1,Many
11002,0,0,0,1,1,1,Few
1036,0,0,1,1,0,0,Few
1037,1,1,1,1,1,0,Moderate
1038,0,1,0,0,1,0,Few
1039,1,0,0,1,0,1,"Very Few"
1040,0,0,0,1,1,0,"Very Few"
1041,1,0,0,1,1,0,"Very Few"
11003,0,1,1,1,1,1,Moderate
1043,0,0,0,1,1,0,Moderate
1044,1,0,1,1,1,0,"Very Few"
1045,1,0,1,0,0,1,Few
1046,1,0,0,0,1,0,Few
1047,1,1,0,0,0,0,Moderate
11004,1,0,1,1,1,0,Moderate
1049,1,1,1,0,1,0,Moderate
1050,1,0,0,1,0,0,"Very Few"
1051,1,0,0,0,1,1,"Very Few"
1052,1,0,0,0,1,0,Few
1053,1,0,1,0,0,0,"Very Few"
1054,1,0,1,0,0,1,"Very Few"
1055,0,0,0,0,0,1,"Very Few"
1056,1,1,1,0,1,1,Many
1057,1,0,1,0,0,0,Moderate
11005,1,1,0,0,1,1,"Very Few"
1059,1,0,1,0,0,1,Few
1060,1,0,1,1,1,1,Few
1061,0,1,0,0,0,0,Few
1062,0,0,0,1,0,0,"Very Few"
1063,1,0,0,0,1,1,"Very Few"
1064,1,0,1,0,0,0,Few
1065,1,0,1,1,1,0,"Very Few"
11006,1,1,1,0,1,0,Few
1067,0,1,0,1,1,1,Few
1068,1,0,0,0,0,1,Moderate
1069,0,1,1,0,0,1,Moderate
1070,0,0,1,0,1,1,"Very Few"
1071,0,0,1,0,0,1,Few
1072,0,1,1,0,0,0,Moderate
1073,1,0,1,0,1,0,Few
1074,0,1,0,1,1,1,Few
1075,1,0,0,1,0,0,Few
1076,0,0,1,1,0,1,"Very Few"
1077,1,1,0,1,0,0,Few
1078,1,1,0,1,1,0,"Very Few"
11007,1,0,1,0,0,1,"Very Few"
1080,0,1,1,1,1,1,Few
1081,0,1,1,0,1,0,Many
11008,0,0,0,1,1,0,Moderate
1083,1,1,0,0,0,1,"Very Few"
1084,1,0,0,1,1,0,Moderate
11009,0,0,1,1,0,1,"Very Few"
1086,1,1,1,0,1,1,Few
1087,1,0,1,1,0,1,Few
1088,1,0,1,0,1,0,"Very Few"
1089,1,0,0,0,1,1,"Very Few"
1090,1,1,1,0,1,0,Few
1091,0,1,0,0,1,1,"Very Few"
1092,0,0,0,1,1,1,"Very Few"
1093,0,1,1,0,1,0,"Very Few"
1094,1,1,0,1,1,1,Moderate
1095,0,1,0,1,1,1,Moderate
1096,0,1,1,0,1,0,"Very Few"
1097,0,0,0,0,0,0,"Very Few"
1098,1,0,0,0,0,1,Moderate
1099,1,0,0,0,0,1,Few
1100,0,0,1,1,1,1,"Very Few"
1101,0,0,0,1,0,0,Many
1102,0,0,0,1,1,0,Few
1103,0,0,0,0,1,0,"Very Few"
1104,1,0,0,0,0,0,Few
1105,1,0,0,0,1,0,"Very Few"
1106,1,1,0,0,0,0,Few
1107,1,0,0,1,1,1,Few
1108,1,1,1,1,0,0,"Very Few"
1109,0,1,0,0,0,1,"Very Few"
1110,1,1,0,1,0,1,"Very Few"
1111,1,0,1,0,1,0,Few
1112,0,0,1,1,0,1,Few
1113,1,0,0,0,1,1,"Very Few"
1114,0,0,1,1,0,1,Few
1115,1,0,0,0,0,0,Moderate
1116,1,1,0,0,1,1,Few
11010,1,1,1,0,1,0,Few
1118,1,0,1,0,1,0,Many
1119,0,1,0,1,0,1,Many
1120,0,0,1,1,1,0,"Very Few"
1121,1,1,1,1,1,1,Moderate
1122,0,0,1,1,0,0,Moderate
1123,0,1,1,0,1,0,Moderate
1124,1,0,1,0,0,0,Moderate
1125,1,1,1,0,1,0,Few
1126,1,0,1,0,1,1,Many
1127,1,1,0,1,0,0,Few
1128,0,1,0,0,1,1,"Very Few"
1129,0,0,0,1,0,1,Few
1130,0,1,1,1,0,1,"Very Few"
1131,1,0,0,1,1,1,"Very Few"
1132,1,0,1,0,1,0,Moderate
11011,1,1,0,0,1,0,"Very Few"
1134,0,0,1,0,1,1,Many
11012,1,1,1,0,1,1,"Very Few"
1136,0,0,1,1,0,1,"Very Few"
1137,0,0,1,1,0,0,Few
1138,1,1,1,0,1,0,Few
1139,1,0,1,0,1,1,Moderate
1140,1,0,0,1,1,0,Few
1141,0,0,1,1,1,0,Many
1142,0,0,0,1,1,0,Few
1143,0,1,1,0,1,0,Moderate
1144,0,1,1,0,1,1,Few
11013,1,1,0,1,1,0,Few
11014,1,0,1,1,0,1,Moderate
1147,1,0,0,0,1,1,"Very Few"
1148,0,1,0,0,1,0,Few
1149,0,0,0,0,1,1,Many
1150,1,0,0,0,0,0,Many
1151,0,0,0,1,0,0,Moderate
1152,0,1,0,0,1,0,Many
1153,0,0,1,0,0,1,Many
1154,0,0,1,1,1,0,"Very Few"
1155,1,1,0,0,1,1,"Very Few"
1156,1,0,1,0,1,1,Few
1157,1,1,1,1,0,0,"Very Few"
11015,1,1,0,1,0,0,"Very Few"
1159,1,0,1,0,1,1,"Very Few"
